dr9_1time,dr9_1_temp,dr9_2time,dr9_2_temp,dr9_3time,dr9_3_temp,dr9_4time,dr9_4_temp,dr9_5time,dr9_5_temp,dr9_6time,dr9_6_temp,dr9_7time,dr9_7_temp
981,40,360,40,440,40,628,40,720,40,1056,40,1023,40
981,40,360,40,440,40,628,40,720,40,1056,40,1023,40
981,40,360,40,440,40,628,40,720,40,1056,40,1023,40
982,40,360,40,440,40,628,40,720,40,1057,40,1023,40
982,40,360,40,440,40,628,40,720,40,1057,40,1023,40
982,40,360,40,440,40,629,40,721,40,1057,40,1023,40
982,40,360,40,440,40,629,40,721,40,1057,40,1023,40
982,40,360,40,441,40,629,40,721,100,1057,100,1024,40
982,40,360,40,441,40,629,40,721,100,1057,100,1024,40
982,40,360,40,441,40,629,40,721,100,1057,100,1024,100
982,40,360,40,441,40,629,40,721,100,1057,100,1024,100
982,40,360,40,441,40,629,40,721,100,1057,100,1024,100
982,40,360,40,441,40,629,40,721,100,1057,100,1024,100
983,40,361,40,441,100,629,40,721,100,1057,100,1024,100
983,40,361,40,441,100,629,40,721,100,1057,100,1024,100
983,40,361,100,441,100,629,100,721,100,1058,100,1024,100
983,40,361,100,441,100,629,100,721,100,1058,100,1024,100
983,40,361,100,441,100,629,100,721,100,1058,100,1024,100
983,40,361,100,441,100,630,100,721,100,1058,100,1024,100
983,100,361,100,441,100,630,100,721,100,1058,100,1024,100
983,100,361,100,441,100,630,100,721,100,1058,100,1024,100
983,100,361,100,441,100,630,100,721,100,1058,100,1024,100
983,100,361,100,441,100,630,100,721,100,1058,100,1024,100
983,100,361,100,441,100,630,100,721,100,1058,100,1024,100
983,100,361,100,441,100,630,100,721,100,1058,100,1024,100
983,100,361,100,441,100,630,100,721,100,1058,100,1024,100
983,100,361,100,441,100,630,100,721,100,1058,100,1024,100
983,100,361,100,441,100,630,100,722,100,1058,100,1025,100
983,100,361,100,441,100,630,100,722,100,1058,100,1025,100
983,100,361,100,441,100,630,100,722,100,1058,100,1025,100
983,100,361,100,441,100,630,100,722,100,1058,100,1025,150
984,100,361,100,441,100,630,100,722,150,1058,150,1025,150
984,100,361,100,441,100,630,100,722,150,1058,150,1025,150
984,100,361,100,442,100,630,100,722,150,1058,150,1025,150
984,100,361,100,442,100,630,100,722,150,1058,150,1025,150
984,100,361,100,442,100,630,100,722,150,1058,150,1025,150
984,100,361,100,442,100,630,100,722,150,1058,150,1025,150
984,100,361,100,442,100,630,100,722,150,1058,150,1025,150
984,100,362,100,442,100,630,150,722,150,1058,150,1025,150
984,100,362,100,442,100,630,150,722,150,1058,150,1025,150
984,100,362,100,442,100,630,150,722,150,1058,150,1025,150
984,100,362,100,442,100,630,150,722,150,1058,150,1025,150
984,100,362,100,442,100,630,150,722,150,1058,150,1025,150
984,100,362,150,442,100,630,150,722,150,1059,150,1025,150
984,100,362,150,442,150,630,150,722,150,1059,150,1025,150
984,100,362,150,442,150,630,150,722,150,1059,150,1025,150
984,100,362,150,442,150,630,150,722,150,1059,150,1025,150
984,100,362,150,442,150,630,150,722,150,1059,150,1025,150
984,100,362,150,442,150,630,150,722,150,1059,150,1025,150
984,100,362,150,442,150,630,150,722,150,1059,150,1025,150
984,100,362,150,442,150,630,150,722,150,1059,150,1025,150
984,100,362,150,442,150,630,150,722,150,1059,150,1025,150
984,100,362,150,442,150,630,150,722,150,1059,150,1025,150
984,100,362,150,442,150,630,150,722,150,1059,200,1025,150
984,100,362,150,442,150,631,150,722,150,1059,200,1025,150
984,100,362,150,442,150,631,150,722,150,1059,200,1025,150
984,100,362,150,442,150,631,150,722,150,1059,200,1025,150
984,100,362,150,442,150,631,150,722,150,1059,200,1025,150
984,100,362,150,442,150,631,150,723,150,1059,200,1025,150
985,100,362,150,442,150,631,150,723,150,1059,200,1026,150
985,100,362,150,442,150,631,150,723,150,1059,200,1026,150
985,100,362,150,442,150,631,150,723,150,1059,200,1026,150
985,100,362,150,442,150,631,150,723,150,1059,200,1026,150
985,100,362,150,442,150,631,150,723,200,1059,200,1026,150
985,100,362,150,442,150,631,150,723,200,1059,200,1026,150
985,100,362,150,442,150,631,200,723,200,1059,200,1026,150
985,100,362,150,442,150,631,200,723,200,1059,200,1026,150
985,100,362,150,442,150,631,200,723,200,1059,200,1026,150
985,100,362,150,443,150,631,200,723,200,1059,200,1026,200
985,100,362,150,443,150,631,200,723,200,1059,200,1026,200
985,100,362,150,443,150,631,200,723,200,1059,200,1026,200
985,100,362,150,443,150,631,200,723,200,1059,200,1026,200
985,100,362,150,443,200,631,200,723,200,1059,200,1026,200
985,100,362,150,443,200,631,200,723,200,1059,200,1026,200
985,100,363,150,443,200,631,200,723,200,1059,200,1026,200
985,100,363,150,443,200,631,200,723,200,1059,200,1026,200
985,100,363,200,443,200,631,200,723,200,1059,200,1026,200
985,100,363,200,443,200,631,200,723,200,1060,200,1026,200
985,100,363,200,443,200,631,200,723,200,1060,200,1026,200
985,100,363,200,443,200,631,200,723,200,1060,200,1026,200
985,100,363,200,443,200,631,200,723,200,1060,200,1026,200
986,150,363,200,443,200,631,200,723,200,1060,200,1026,200
986,150,363,200,443,200,631,200,723,200,1060,200,1026,200
986,150,363,200,443,200,631,200,723,200,1060,200,1026,200
986,150,363,200,443,200,631,200,723,200,1060,210,1026,200
986,150,363,200,443,200,631,200,723,200,1060,210,1026,200
986,150,363,200,443,200,631,200,723,200,1060,210,1026,200
986,150,363,200,443,200,631,200,723,200,1060,210,1026,200
986,150,363,200,443,200,631,200,723,200,1060,210,1026,200
986,150,363,200,443,200,631,200,723,200,1060,210,1026,200
986,150,363,200,443,200,631,200,723,200,1060,210,1026,200
986,150,363,200,443,200,631,200,723,200,1060,210,1026,200
986,150,363,200,443,200,631,200,723,200,1060,210,1026,200
986,150,363,200,443,200,631,200,723,200,1060,210,1027,200
986,150,363,200,443,200,631,200,724,200,1060,210,1027,200
986,150,363,200,443,200,631,200,724,200,1060,210,1027,200
986,150,363,200,443,200,631,200,724,200,1060,210,1027,210
986,150,363,200,443,200,632,200,724,200,1060,210,1027,210
986,150,363,200,443,200,632,200,724,200,1060,210,1027,210
986,150,363,200,443,200,632,220,724,200,1060,210,1027,210
986,150,363,200,443,200,632,220,724,200,1060,210,1027,210
986,150,363,200,443,200,632,220,724,200,1060,210,1027,210
986,150,363,200,443,200,632,220,724,200,1060,210,1027,210
986,150,363,200,443,200,632,220,724,200,1060,210,1027,210
986,150,363,200,443,200,632,220,724,200,1060,210,1027,210
986,150,363,200,443,200,632,220,724,200,1060,210,1027,210
986,150,363,200,443,200,632,220,724,200,1060,210,1027,210
986,150,363,200,443,200,632,220,724,200,1060,210,1027,210
986,150,363,200,443,200,632,220,724,200,1060,210,1027,210
986,150,363,200,443,200,632,220,724,200,1060,210,1027,210
986,150,363,200,444,200,632,220,724,200,1060,210,1027,210
986,150,363,200,444,200,632,220,724,200,1060,210,1027,210
986,150,363,200,444,200,632,220,724,200,1060,210,1027,210
986,150,363,200,444,200,632,220,724,200,1060,210,1027,210
986,150,363,200,444,230,632,220,724,200,1060,210,1027,210
986,150,364,200,444,230,632,220,724,200,1061,210,1027,210
986,150,364,200,444,230,632,220,724,200,1061,210,1027,210
986,150,364,200,444,230,632,220,724,200,1061,210,1027,210
986,150,364,200,444,230,632,220,724,200,1061,210,1027,210
987,150,364,240,444,230,632,220,724,200,1061,210,1027,210
987,150,364,240,444,230,632,220,724,200,1061,210,1027,210
987,150,364,240,444,230,632,220,724,200,1061,210,1027,210
987,150,364,240,444,230,632,220,724,200,1061,210,1027,210
987,150,364,240,444,230,632,220,724,200,1061,210,1027,210
987,150,364,240,444,230,632,220,724,200,1061,210,1027,210
987,150,364,240,444,230,632,220,724,200,1061,210,1027,210
987,150,364,240,444,230,632,220,724,200,1061,210,1027,210
987,150,364,240,444,230,632,220,724,200,1061,210,1027,210
987,200,364,240,444,230,632,220,724,200,1061,210,1027,210
987,200,364,240,444,230,632,220,724,200,1061,210,1027,210
987,200,364,240,444,230,632,220,724,200,1061,210,1027,210
987,200,364,240,444,230,632,220,724,200,1061,210,1027,210
987,200,364,240,444,230,632,220,724,200,1061,210,1027,210
987,200,364,240,444,230,632,220,724,200,1061,210,1027,210
987,200,364,240,444,230,632,220,725,200,1061,210,1027,210
987,200,364,240,444,230,632,220,725,210,1061,210,1028,210
987,200,364,240,444,230,632,220,725,210,1061,210,1028,210
987,200,364,240,444,230,632,220,725,210,1061,210,1028,210
987,200,364,240,444,230,632,220,725,210,1061,210,1028,210
987,200,364,240,444,230,632,220,725,210,1061,210,1028,210
987,200,364,240,444,230,632,220,725,210,1061,210,1028,210
987,200,364,240,444,230,633,220,725,210,1061,210,1028,210
987,200,364,240,444,230,633,220,725,210,1061,210,1028,210
987,200,364,240,444,230,633,220,725,210,1061,210,1028,210
987,200,364,240,444,230,633,220,725,210,1061,210,1028,210
987,200,364,240,444,230,633,220,725,210,1061,210,1028,210
987,200,364,240,444,230,633,220,725,210,1061,210,1028,210
987,200,364,240,444,230,633,220,725,210,1061,210,1028,210
987,200,364,240,444,230,633,220,725,210,1061,210,1028,210
987,200,364,240,444,230,633,220,725,210,1061,210,1028,210
987,200,364,240,445,230,633,220,725,210,1061,210,1028,210
987,200,364,240,445,230,633,220,725,210,1061,210,1028,210
987,200,364,240,445,230,633,220,725,210,1062,210,1028,210
987,200,365,240,445,230,633,220,725,210,1062,210,1028,210
987,200,365,240,445,230,633,220,725,210,1062,210,1028,210
987,200,365,240,445,230,633,220,725,210,1062,210,1028,210
987,200,365,240,445,230,633,220,725,210,1062,210,1028,210
987,200,365,240,445,230,633,220,725,210,1062,210,1028,210
987,200,365,240,445,230,633,220,725,210,1062,210,1028,210
987,200,365,240,445,230,633,220,725,210,1062,210,1028,210
987,200,365,240,445,230,633,220,725,210,1062,210,1028,210
988,200,365,240,445,230,633,220,725,210,1062,210,1028,210
988,200,365,240,445,230,633,220,725,210,1062,210,1028,210
988,200,365,240,445,230,633,220,725,210,1062,210,1028,210
988,200,365,240,445,230,633,220,725,210,1062,210,1028,210
988,200,365,240,445,230,633,220,725,210,1062,210,1028,210
988,200,365,240,445,230,633,220,725,210,1062,210,1028,210
988,250,365,240,445,230,633,220,725,210,1062,210,1028,210
988,250,365,240,445,230,633,220,725,210,1062,210,1028,210
988,250,365,240,445,230,633,220,725,210,1062,210,1028,210
988,250,365,240,445,230,633,220,725,210,1062,210,1028,210
988,250,365,240,445,230,633,220,725,210,1062,210,1028,210
988,250,365,240,445,230,633,220,725,210,1062,210,1029,210
988,250,365,240,445,230,633,220,725,210,1062,210,1029,210
988,250,365,240,445,230,633,220,725,210,1062,210,1029,210
988,250,365,240,445,230,633,220,725,210,1062,210,1029,210
988,250,365,240,445,230,633,220,726,210,1062,210,1029,210
988,250,365,240,445,230,633,220,726,210,1062,210,1029,210
988,250,365,240,445,230,633,220,726,210,1062,210,1029,210
988,250,365,240,445,230,633,220,726,210,1062,210,1029,210
988,250,365,240,445,230,633,220,726,210,1062,210,1029,210
988,250,365,240,445,230,633,220,726,210,1062,210,1029,210
988,250,365,240,445,230,634,220,726,210,1062,210,1029,210
988,250,365,240,445,230,634,220,726,210,1062,210,1029,210
988,250,365,240,445,230,634,220,726,210,1062,210,1029,210
988,250,365,240,445,230,634,220,726,210,1062,210,1029,210
988,250,365,240,445,230,634,220,726,210,1062,210,1029,210
988,250,365,240,445,230,634,220,726,210,1062,210,1029,210
988,250,365,240,445,230,634,220,726,210,1062,210,1029,210
988,250,365,240,445,230,634,220,726,210,1063,210,1029,210
988,250,365,240,445,230,634,220,726,210,1063,210,1029,210
988,250,365,240,445,230,634,220,726,210,1063,210,1029,210
988,250,365,240,445,230,634,220,726,210,1063,210,1029,210
988,250,365,240,445,230,634,220,726,210,1063,210,1029,210
988,250,365,240,445,230,634,220,726,210,1063,210,1029,210
988,250,365,240,446,230,634,220,726,210,1063,210,1029,210
989,250,366,240,446,230,634,220,726,210,1063,210,1029,210
989,250,366,240,446,230,634,220,726,210,1063,210,1029,210
989,250,366,240,446,230,634,220,726,210,1063,210,1029,210
989,250,366,240,446,230,634,220,726,210,1063,210,1029,210
989,250,366,240,446,230,634,220,726,210,1063,210,1029,210
989,250,366,240,446,230,634,220,726,210,1063,210,1029,210
989,250,366,240,446,230,634,220,726,210,1063,210,1029,210
989,250,366,240,446,230,634,220,726,210,1063,210,1029,210
989,250,366,240,446,230,634,220,726,210,1063,210,1029,210
989,250,366,240,446,230,634,220,726,210,1063,210,1029,210
989,250,366,240,446,230,634,220,726,210,1063,210,1029,210
989,250,366,240,446,230,634,220,726,210,1063,210,1029,210
989,250,366,240,446,230,634,220,726,210,1063,210,1029,210
989,250,366,240,446,230,634,220,726,210,1063,210,1030,210
989,250,366,240,446,230,634,220,726,210,1063,210,1030,210
989,250,366,240,446,230,634,220,727,210,1063,210,1030,210
989,250,366,240,446,230,634,220,727,210,1063,210,1030,210
989,250,366,240,446,230,634,220,727,210,1063,210,1030,210
989,250,366,240,446,230,634,220,727,210,1063,210,1030,210
989,250,366,240,446,230,634,220,727,210,1063,210,1030,210
989,250,366,240,446,230,634,220,727,210,1063,210,1030,210
989,250,366,240,446,230,634,220,727,210,1063,210,1030,210
989,250,366,240,446,230,634,220,727,210,1063,210,1030,210
989,250,366,240,446,230,634,220,727,210,1063,210,1030,210
989,250,366,240,446,230,634,220,727,210,1063,210,1030,210
989,250,366,240,446,230,634,220,727,210,1063,210,1030,210
989,250,366,240,446,230,634,220,727,210,1063,210,1030,210
989,250,366,240,446,230,634,220,727,210,1063,210,1030,210
989,250,366,240,446,230,634,220,727,210,1063,210,1030,210
989,250,366,240,446,230,634,220,727,210,1063,210,1030,210
989,250,366,240,446,230,634,220,727,210,1064,210,1030,210
989,250,366,240,446,230,634,220,727,210,1064,210,1030,210
989,250,366,240,446,230,634,220,727,210,1064,210,1030,210
989,250,366,240,446,230,634,220,727,210,1064,210,1030,210
989,250,366,240,446,230,635,220,727,210,1064,210,1030,210
989,250,366,240,446,230,635,220,727,210,1064,210,1030,210
989,250,366,240,446,230,635,220,727,210,1064,210,1030,210
989,250,366,240,446,230,635,220,727,210,1064,210,1030,210
989,250,366,240,446,230,635,220,727,210,1064,210,1030,210
990,250,366,240,446,230,635,220,727,210,1064,210,1030,210
990,250,366,240,446,230,635,220,727,210,1064,210,1030,210
990,250,366,240,446,230,635,220,727,210,1064,210,1030,210
990,250,367,240,447,230,635,220,727,210,1064,210,1030,210
990,250,367,240,447,230,635,220,727,210,1064,210,1030,210
990,250,367,240,447,230,635,220,727,210,1064,210,1030,210
990,250,367,240,447,230,635,220,727,210,1064,210,1030,210
