AgingMOSFET14X,AgingMOSFET14Y,AgingMOSFET8X,AgingMOSFET8Y,AgingMOSFET9X,AgingMOSFET9Y,AgingMOSFET36X,AgingMOSFET36Y,AgingMOSFET11X,AgingMOSFET11Y,AgingMOSFET12X,AgingMOSFET12Y
9.128978394,0.000508984,8.266275363,-0.001187629,6.540869301,0.000135729,6.540869301,0.000933137,6.540869301,0.000933137,7.403572332,0.000480707
14.30519658,0.000848306,11.28573597,-0.001187629,11.71708749,0.000565538,11.71708749,0.000254492,11.71708749,0.000339323,12.57979052,0.000593814
19.48141476,0.001272459,28.10844507,0.001526951,16.89330567,0.000848306,16.89330567,0.001187629,16.89330567,0.001102798,17.7560087,0.001272459
24.65763295,0.000933137,32.42196023,0.000975552,22.06952386,0.001074521,22.06952386,0.00135729,22.06952386,0.001442121,22.93222689,0.000678645
30.14195936,0.000412035,39.32358448,0.006531959,27.24574204,0.003478056,27.24574204,0.000848306,27.24574204,0.001696613,28.10844507,-0.000763476
35.01006932,0.000492018,44.49980266,0.006871281,32.42196023,0.004156701,32.42196023,0.0002757,32.42196023,0.001272459,33.28466326,-0.001781443
39.97061175,0.004105803,49.67602085,0.006192636,37.3393675,0.004309396,37.94325963,0.001001001,37.94325963,0.001509985,38.46088145,-0.002544919
38.02952993,8.48306E-05,54.85223903,0.006022975,42.7743966,0.004326362,42.7743966,0.002044418,42.7743966,0.002205596,43.63709963,-0.001526951
45.36250569,0.006472577,60.02845722,0.006447128,47.51926327,0.004614786,47.95061479,0.002332842,47.51926327,0.003825862,48.81331782,-0.000480707
50.53872388,0.006107806,65.2046754,0.007210604,58.30305116,0.003647717,53.12683297,0.002460088,52.98304913,0.003302739,53.989536,0.000212077
55.71494206,0.005429161,70.68900181,0.006422891,63.04791783,0.003902209,58.30305116,0.002587334,58.49912003,0.002791699,59.5971057,-0.00036053
60.89116025,0.005683652,75.55711177,0.010349337,68.74175783,0.006141738,63.44005557,0.002652885,63.47926934,0.002510987,64.34197237,0.00262975
66.06737843,0.005386745,80.73332996,0.011282474,73.83170571,0.00797408,68.48294692,0.002833343,68.22413601,0.002680648,64.34197237,-0.002460088
71.56711026,0.00559458,85.90954815,0.011876289,72.10629965,0.003647717,73.83170571,0.004869278,73.4003542,0.002986038,69.32212169,-0.000169661
76.41981481,0.008818993,91.08576633,0.011197644,79.0079239,0.005768483,78.57657238,0.005372607,79.33143753,0.005620029,74.69440874,0.002120766
81.59603299,0.011706627,96.26198452,0.01204595,84.49225031,0.005986619,84.18414208,0.006362297,84.18414208,0.008525479,79.87062693,0.001215906
86.77225118,0.011876289,101.4382027,0.011876289,89.36036027,0.004807069,89.17549533,0.007622638,88.92900875,0.009082533,85.04684511,0.001102798
